,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 2,D21S11  ,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0.0000 ,0.0000 ,0.0000 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0061 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0050 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0000 ,0.0060 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,0.0063 ,0.0082 ,0.0181 ,0.0000 ,0.0061 ,0.0149 ,0.0333 ,0.0000 ,0.0000 ,0.0018 ,0.0015 ,0.0032 ,0.0060 ,,0.0009 ,0.0000 ,0.0000 ,0.0025 ,,0.0050 ,0.0020 ,0.0140 ,,0.0139 ,0.0000 ,0.0000 ,0.0160 ,0.0039 ,,0.0120 ,0.0220 ,0.0248 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,0.0125 ,0.0185 ,0.0289 ,0.0443 ,0.0305 ,0.0187 ,0.0389 ,0.0500 ,0.0283 ,0.0429 ,0.0302 ,0.0299 ,0.0298 ,,0.0457 ,0.0480 ,0.0370 ,0.0657 ,,0.0640 ,0.0620 ,0.0380 ,,0.1573 ,0.0670 ,0.0550 ,0.0820 ,0.1339 ,,0.1720 ,0.2010 ,0.1139 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.2,0.0750 ,0.0350 ,0.0482 ,0.0468 ,0.0366 ,0.0410 ,0.0444 ,0.0300 ,0.0943 ,0.0288 ,0.0393 ,0.0378 ,0.0208 ,,0.0119 ,0.0060 ,0.0090 ,0.0152 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0080 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.2625 ,0.2654 ,0.2735 ,0.2315 ,0.2256 ,0.2687 ,0.2500 ,0.3100 ,0.2830 ,0.2494 ,0.2675 ,0.2601 ,0.2530 ,,0.2596 ,0.2680 ,0.2510 ,0.2348 ,,0.2500 ,0.2360 ,0.2120 ,,0.1773 ,0.2830 ,0.2970 ,0.2460 ,0.2520 ,,0.2440 ,0.1590 ,0.2228 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
